Ὠδαί 1:1	AΣΩΜΕΝ τῷ κυρίῳ, ἐνδόξως γὰρ δεδόξασται XV, ἵππον καὶ ἀναβάτην ἔρριψεν εἰς θάλασσαν. 1—19
Ὠδαί 10:74	εὐλογείτω ἡ γῆ τὸν κύριον· ὑμνείτω καὶ ὑπερυψούτω αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:75	εὐλογεῖτε, ὄρη καὶ βουνοί, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:76	εὐλογεῖτε, πάντα τὰ φυόμενα ἐν τῇ γῆ, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:77	εὐλογεῖτε, αἱ πηγαί, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας. 64 τον κυριον] om τον R 65 τα πνευματα] om τα R 67, 68 om RΤ R 68 7 3 suum ordinem servant in T 69 παγος κ. ψυχος] ψ υχος κ. καυμα R παγοι κ. ψ. T 74 ευλογιω R*ᵛⁱᵈ (τ superscr R) υπερ- υψουτε R 77 υπερυψουτω R item 8o, 81, 84 (ut vid), 85 A
Ὠδαί 10:78	εὐλογεῖτε, θάλασσαι καὶ ποταμοί, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:79	εὐλογεῖτε, κήτη καὶ πάντα τὰ κινούμενα ἐν τοῖς ὕδασιν, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:80	εὐλογεῖτε, πάντα τὰ πετεινὰ τοῦ οὐρανοῦ, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:81	εὐλογεῖτε, τὰ θηρία καὶ πάντα τὰ κτήνη, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:82	εὐλογεῖτs, υἱοὶ τῶν ἀνθρώπων, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:83	εὐλογείτω Ἰσραὴλ τὸν κύριον· ὑμνείτω καὶ ὑπερυψούτω αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:84	εὐλογεῖτε, ἱερεῖς Κυρίου, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:85	εὐλογεῖτε, δοῦλοι Κυρίου, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:86	εὐλογεῖτε, πνεύματα καὶ ψυχαὶ δικαίων, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:87	εὐλογεῖτε, ὅσιοι καὶ ταπεινοὶ καρδία, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας.
Ὠδαί 10:88	εὐλογεῖτε, Ἀνανία, Ἀζαρία, Μισαήλ, τὸν κύριον· ὑμνεῖτε καὶ ὑπερυψοῦτε αὐτὸν εἰς τοὺς αἰῶνας. RΤ 78 ante 77 pos R 81 πανια τα θηρια κ. τα κτηνη R 83 ευλογειτε R 86 τον κυριον] om τον R 87 καρδια] την καρδιαν R τη καρδια T 88 Αννανιας R Aζαριας Μισαηλ] pr και R add in fine ευλογουμεν πατερα και υιονν- και αγιον π νευμα υμνουμεν και υπ ερυψουμεν αυτον εις τους αιωνας (88) οτι εξειλατο ( εξιλ.) ημας εξ αδου και εσωσεν ημας εκ χειρος θανατου και ερυσατο ημας εκ μεσης καιομενης (? κεομ.) φλογος και εκ μεσο πυρος ελυτρωσατο ημας (89) εξομολογεισθε τω κυριω οτι αγαθος οτι εις τον αιωνα το ελεος αυτου (90) ευλογειτε παντες σεβομενοι θεον των θεων τον κυριον υμνειτε και εξομολογεισθε οτι εις τον αιωνα το ελεος αυτου R (seq latine Dam iii 91 93: gracca hodie saltem desunt) add in fin (88) οτι ερυσατο ημας εξ αδου και εσωσεν ημας εκ χειρος θανατου και ερυσατο ημας εκ μεσου καιομενης φλογὸς και εκ μεσου πυρος ερυσατο ημας (89) εξομολο- γισθε τω κω οτι χς οτι εις τον αιωνα το ελεος αυτου (90) ευλογειτε παντες οι σεβομενοι κν τον θν των θεων υμνιτε και εξομολογεισθε οτι εις παντας τους αιωνας το ελεος αυτου; Τ ΙΑ΄ ΙΙροσευχὴ Μαρίας τῆς θεοτόκου. A Luc. i.
Ὠδαί 11:46	Μεγαλύνει ἡ ψυχὴ μου τὸν κύριον, 6—55
Ὠδαί 11:47	καὶ ἠγαλλίασεν τὸ πνεῦμά μου ἐπὶ τῷ θεῷ τῷ σωτῆρί μου.
Ὠδαί 11:48	ὅτι ἐπέβλεψεν ἐπὶ τὴν ταπείνωσιν τῆς δούλης αὐτοῦ· ἰδοὺ γὰρ ἀπὸ τοῦ νῦν μακαριοῦσίν με πᾶσαι αἱ γενεαί.
Ὠδαί 11:49	ὅτι ἐποίησέν μοι μεγάλα ὁ δυνατός· καὶ ἅγιον τὸ ὄνομα αὐτοῦ.
Ὠδαί 11:50	καὶ τὸ ἔλεος αὐτοῦ ἀπὸ γενεᾶς εἰς γενεὰν τοῖς φοβουμένοις αὐτόν.
Ὠδαί 11:51	ἐποίησεν κράτος ἐν βραχίονι αὐτοῦ· διεσκόρπισεν ὑπερηφάνους διανοίᾳ καρδίας αὐτῶν.
Ὠδαί 11:52	καθεῖλεν δυνάστας ἀπὸ θρόνων, καὶ ὕψωσεν ταπεινούς.
Ὠδαί 11:53	πεινῶντας ἐνέπλησεν ἀγαθῶν, καὶ πλουτοῦντας ἐξαπέστειλεν κενούς.
Ὠδαί 11:54	ἀντελάβετο Ἰσραὴλ παιδὸς αὐτοῦ, μνησθῆναι ἐλέους,
Ὠδαί 11:55	καθὼς ἐλάλησεν πρὸς τοὺς πατέρας ἡμῶν, τῷ Ἀβραὰμ καὶ τῷ σπέρματι αὐτοῦ ἕως αἰῶνος ¶R ΠΒ΄ Προσευχὴ Συμεών. Luc. ii.
Ὠδαί 12:29	Νῦν ἀπολύεις τὸν δοῦλόν σου, δέσ ποτα, 19—32 κατὰ τὸ ῥῆμά σου ἐν εἰρήνῃ·
Ὠδαί 12:30	ὅτι ἴδον οἱ ὀφθαλμοί μου τὸ σωτήριόν σου,
Ὠδαί 12:31	ὅ ἡτοίμασας κατὰ πρόσωπον πάντων τῶν λαῶν,
Ὠδαί 12:32	φῶς εἰς ἀποκάλυψιν ἐθνῶν, καὶ δόξαν λαοῦ σου Ἰσραήλ. X1 (ζʼ [R] Τ) προσευχη Μαριας της θεοτοκου] om της θεοτοκου R ευχη RΤ M. εκ του ευαγγελιου Τ 47 αγαλλιασεν R * (ηγαλλ. Ra) 49 μεγα- λεια A? (superscr ει) R 1 (.λια) 50 απο γενεος εις γενεαν] εις γενεαν και γενεαν RΤ 51 διανοιας R 52 om και R 54 ελεους] 4 αυτου 55 αιωνος] + αμην R XII (ιδ' T) προσευχη Συμεων] υχη Συμεωνος εκ του ευαγγελιου Τ ΙΓ΄ A Προσευχὴ Ζαχαρίου.
Ὠδαί 13:68	Εὐλογητὸς Κύριος ὁ θεὸς τοῦ Ἰσραήλ, Luc. i. ὅτι ἐπεσκέψατο, καὶ ἐποίησεν λύτρωσιν τῷ λαῷ αὐτοῦ, 68—79
Ὠδαί 13:69	καὶ ἤγειρεν κέρας σωτηρίας ἡμῖν ἐν τῷ οἴκῳ Δαυεὶδ τοῦ παιδὸς αὐτοῦ·
Ὠδαί 13:70	καθὰς ἐλάλησεν διὰ στόματος τῶν ἁγίων τῶν ἀπʼ αἰῶνος προφητῶν αὐτοῦ,
Ὠδαί 13:71	σωτηρίαν ἐξ ἐχθρῶν ἡμῶν καὶ ἐκ χειρὸς πάντων τῶν μισούντων ἡμᾶς·
Ὠδαί 13:72	ποιῆσαι ἔλεος μετὰ τῶν πατέρων ἡμῶν, καὶ μνησθῆναι διαθήκης ἁγίας αὐτοῦ,
Ὠδαί 13:73	ὅρκον ὃν ὤμοσεν πρὸς Ἀβραὰμ τὸν πατέρα ἡμῶν, τοῦ δοῦναι ἡμῖν ἀφόβως ἐκ χειρὸς τῶν ἐχθρῶν ἡμῶν ῥυσθέντας λατρεύειν αὐτῷ
Ὠδαί 13:75	ἐν ὁσιότητι καὶ δικαιοσύνῃ ἐνώπιον αὐτοῦ πάσας τὰς ἡμέρας ἡμῶν.
Ὠδαί 13:76	καὶ σὺ δέ, παιδίον, προφήτης Ὑψίστου κληθήσῃ· προπορεύσῃ γὰρ πρὸ προσώπου Κυρίου ἑτοιμάσιι ὁδοὺς αὐτοῦ,
Ὠδαί 13:77	τοῦ δοῦναι γνῶσιν σωτηρίας τῷ λαῷ αὐτοῦ, ἐν ἀφέσει ἁμαρτιῶν ἡμῶν
Ὠδαί 13:78	διὰ σπλάγχνα ἐλέους θεοῦ ἡμῶν, ἐν οἶς ἐπεσκέψατο ἡμᾶς ἀνατολὴ ἐξ ὕψους.
Ὠδαί 13:79	ἐπιφᾶναι τοῖς ἐν σκότει καὶ σκιᾶ θανάτου καθημένοις, τοῦ κατευθῦναι τοὺς πόδας ἡμῶν εἰς ὁδὸν εἰρήνης ΙΔ΄ Ὕμνος ἑωθινός. Δόξα ἐν ὑψίστοις θεῷ, καὶ ἐπὶ γῆς εἰρήνη, ἐν ἀνθρώποις εὐδοκίᾳ αἰνοῦμέν σε, T XIII (ιγʼ Γ) προσευχη Ζαχαριου] ωδη Ζ. εκ του ευαγγελιου T 76 om δε Τ X IV sine numero in T tit sicut in A εὐλογοίμέν σε, A προσκυνοῦμέν σε, δοξολογοῦμέν σε, εὐχαριστοῦμέν σοι, διὰ τὴν μεγάλην σου δόξαν, Κύριε βασιλεῦ ἐπουράνιε, θεὲ πατὴρ παντοκράτωρ· Κύριε υἱέ μονογενῆ Ἰησοῦ Χριστέ, καὶ ἅγιον πνεῦμα. Κύριε ὁ θεός, ὁ ἀμνὸς τοῦ θεοῦ. ὁ υἱὸς τοῦ πατρό ὁ αἵρων τὰς ἁμαρτίας τοῦ κόσμου, ἐλέησον ἡμᾶς· ὁ αἵρων τὰς ἁμαρτίας τοῦ κόσμου, ἐλέησον ἡμᾶς· πρόσδεξαι τὴν δέησιν ἡμῶν· ὁ καθήμενος ἐν δεξιᾷ τοῦ πατρός. ἐλέησον ἡμᾶς. ὅτι σὺ εἶ μόνος ἄγιος. σὺ εἶ μόνος κύριος, Ἰησοῦς Χριστός, εἰς δόξαν θεοῦ πατρός.. αμὴν. καθʼ ἑκάστην ἡμέραν εὐλογήσω σε, καὶ αἰνέσω τὸ ὄνομά σου εἰς τὸν αἰῶνα, καὶ εἰς τὸν αἰῶνα τοῦ αἰῶνος. καταξίωσον, Κύριε, καὶ τὴν ἡμέραν ταύτην ἀναμαρτήτους φυλαχθῆναι ἡμᾶς. εὐλογητὸς εἶ, Κύριε ὁ θεὸς τῶν πατέρων ἡμῶν, καὶ αἰνετὸν καὶ δεδοξασμένον τὸ ὄνομά σου εἰς τοὺς αἰῶνας. ἀμήν. εὐλογητὸς εἶ, Κύριε, δίδαξόν με τὰ δικαιώματά σου· ¶T εὐλογητὸς εἶ, Κύριε, δίδαξόν με τὰ δικαιώματά σου· 6 σε] σοι T 10 11 κ κε βασιλευ επουρανιε· Τ 12 πατηρ] Τ περ Τ 13 υε (sic) A ϋϊε T 21–23 του κοσμου.. εν δεξια του evan in T (exc α in καθημ. ut vid) 26 ante κς vid abstersisse δι T? 36 διδαξον] διδ... T A εὐλογητὸς εἷ, Κύριε, δίδαξόν με τά δικαιώματά σου. Κύριε, καταφυγή ἐγενήθης ἡμῖν ἐν γενεᾷ καὶ γενεᾷ. ἐγὼ εἶπα Κύριε, ἐλέησόν με, ἴασαι τὴν ψυχήν μου, ὅτι ἥμαρτόν σοι. Κύριε, πρὸς σὲ κατέφυγα· δίδαξόν με τοῦ ποιεῖν τὸ θέλημά σου, ὅτ σύ εἷ ὁ θεός μου. ὅτι παρὰ σοὶ πηγὴ ζωῆς, ἐν τῷ φωτί σου ὀψόμεθα φῶς· παράτεινον τὸ ἔλεός σου τοῖς γινώσκουσίν σε.
